Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,24,lap_trigger,lap_trigger,,,,,,,,,,,,1
,25,sport,sport,,,,,,,,,,,,1
,26,event_group,uint8,,,,,,,,,,,,1
,32,num_lengths,uint16,,,,,,,,,,,,1
,33,normalized_power,uint16,,,,,,,,,,,,1
,34,left_right_balance,left_right_balance_100,,,,,,,,,,,,1
,35,first_length_index,uint16,,,,,,,,,,,,1
,37,avg_stroke_distance,uint16,,,,,,,,,,,,1
,38,swim_stroke,swim_stroke,,,,,,,,,,,,1
,39,sub_sport,sub_sport,,,,,,,,,,,,1
,40,num_active_lengths,uint16,,,,,,,,,,,,1
,41,total_work,uint32,,,,,,,,,,,,1
,42,avg_altitude,uint16,,,,,,,,,,,,1
,43,max_altitude,uint16,,,,,,,,,,,,1
,44,gps_accuracy,uint8,,,,,,,,,,,,1
,45,avg_grade,sint16,,,,,,,,,,,,1
,46,avg_pos_grade,sint16,,,,,,,,,,,,1
,47,avg_neg_grade,sint16,,,,,,,,,,,,1
,48,max_pos_grade,sint16,,,,,,,,,,,,1
,49,max_neg_grade,sint16,,,,,,,,,,,,1
,50,avg_temperature,sint8,,,,,,,,,,,,1
,51,max_temperature,sint8,,,,,,,,,,,,1
,52,total_moving_time,uint32,,,,,,,,,,,,1
,53,avg_pos_vertical_speed,sint16,,,,,,,,,,,,1
,54,avg_neg_vertical_speed,sint16,,,,,,,,,,,,1
,55,max_pos_vertical_speed,sint16,,,,,,,,,,,,1
,56,max_neg_vertical_speed,sint16,,,,,,,,,,,,1
,57,time_in_hr_zone,uint32,[N],,,,,,,,,,,1
,58,time_in_speed_zone,uint32,[N],,,,,,,,,,,1
,59,time_in_cadence_zone,uint32,[N],,,,,,,,,,,1
,60,time_in_power_zone,uint32,[N],,,,,,,,,,,1
,61,repetition_num,uint16,,,,,,,,,,,,1
,62,min_altitude,uint16,,,,,,,,,,,,1
,63,min_heart_rate,uint8,,,,,,,,,,,,1
,71,wkt_step_index,message_index,,,,,,,,,,,,1
,74,opponent_score,uint16,,,,,,,,,,,,1
,75,stroke_count,uint16,[N],,,,,,,,,,,1
,76,zone_count,uint16,[N],,,,,,,,,,,1
,77,avg_vertical_oscillation,uint16,,,,,,,,,,,,1
,78,avg_stance_time_percent,uint16,,,,,,,,,,,,1
,79,avg_stance_time,uint16,,,,,,,,,,,,1
,80,avg_fractional_cadence,uint8,,,,,,,,,,,,1
,81,max_fractional_cadence,uint8,,,,,,,,,,,,1
,82,total_fractional_cycles,uint8,,,,,,,,,,,,1
,83,player_score,uint16,,,,,,,,,,,,1
,84,avg_total_hemoglobin_conc,uint16,[N],,,,,,,,,,,1
,85,min_total_hemoglobin_conc,uint16,[N],,,,,,,,,,,1
,86,max_total_hemoglobin_conc,uint16,[N],,,,,,,,,,,1
,87,avg_saturated_hemoglobin_percent,uint16,[N],,,,,,,,,,,1
,88,min_saturated_hemoglobin_percent,uint16,[N],,,,,,,,,,,1
,89,max_saturated_hemoglobin_percent,uint16,[N],,,,,,,,,,,1
,91,avg_left_torque_effectiveness,uint8,
